x,y,z,vx,vy,vz,m,id,Star_Classification
-0.230317,0.10938698,1.218215,0.10320707,-0.70785099,-0.25004739,0.000015625,61267,In_Cluster
0.69345248,-0.16070399,0.16888788,0.054727077,-0.44710863,-0.50761086,0.000015625,7223,In_Cluster
-0.36783159,-0.069284499,0.30834058,-0.24223769,-0.20339455,-0.32923138,0.000015625,4964,In_Cluster
0.23556221,0.25703123,-0.27889654,0.64011675,0.51603717,0.23031348,0.000015625,53136,In_Cluster
-0.033648994,1.2400481,1.3388411,0.3173928,0.22605771,-0.011150949,0.000015625,14616,In_Cluster
-0.23909269,0.22886942,-0.8772164,-0.60748792,0.2010406,0.3038584,0.000015625,19088,In_Cluster
-0.14191519,0.040931299,-0.28728962,-1.3277174,0.038904775,0.15618291,0.000015625,94,In_Cluster
0.71591103,0.21037154,-0.42980137,-0.43396676,0.44515052,-0.45583338,0.000015625,13093,In_Cluster
-0.69108534,0.6266889,0.96188253,0.32827616,0.25245777,-0.36723316,0.000015625,18693,In_Cluster
1.1106158,-0.74086607,-1.0025697,0.45143762,0.24967681,0.18495974,0.000015625,8340,In_Cluster
0.25336158,1.1469761,0.78508955,-0.73705113,-0.078409761,0.20764463,0.000015625,10922,In_Cluster
1.1178598,0.56931627,-0.40030313,-0.36362484,0.20281927,0.069191478,0.000015625,14972,In_Cluster
0.52247757,-0.61720276,0.012493506,0.19764496,-0.34350958,-0.035635311,0.000015625,22504,In_Cluster
3.5028396,-1.2346164,-0.74716759,-0.062933318,-0.085927412,0.052919906,0.000015625,43364,In_Cluster
0.15943041,0.18633056,-0.12992261,0.048268151,0.32418689,0.41151395,0.000015625,58948,In_Cluster
-0.003364391,-0.23954718,0.35318089,-0.32449117,-0.33701089,0.16854154,0.000015625,34003,In_Cluster
-0.019188546,0.02866403,0.18429521,0.92389846,0.6347822,-0.907004,0.000015625,61874,In_Cluster
0.049947999,-0.48338732,0.016091213,-0.32347754,0.22510773,-0.18952546,0.000015625,39480,In_Cluster
0.33014044,1.2062693,2.7749531,0.14033069,-0.25332478,-0.10062097,0.000015625,20338,In_Cluster
-0.43881902,-0.40436342,0.11513219,0.14568545,-0.41999182,1.3035907,0.000015625,59257,In_Cluster
0.009817927,0.068941504,0.1171929,0.52373886,0.10330168,-0.056360655,0.000015625,46817,In_Cluster
-0.6113525,0.83107013,0.25719953,0.18311094,0.96447062,-0.28528282,0.000015625,17572,In_Cluster
0.24695466,0.33950916,1.1282914,-0.55615139,-0.19795622,0.044184968,0.000015625,12332,In_Cluster
-2.4062912,-0.23467167,-0.43257064,-0.19419019,-0.36739627,0.15998372,0.000015625,21849,In_Cluster
-1.5331733,0.34572548,-0.17100117,-0.27454972,0.30855563,-0.59344327,0.000015625,53360,In_Cluster
-2.0112004,1.8252932,-1.8652045,0.040579759,-0.1191514,-0.20514026,0.000015625,37495,In_Cluster
0.34358007,0.18096721,-0.043432802,1.0006391,-0.37909868,0.25567469,0.000015625,14689,In_Cluster
-0.077632651,0.067848697,-0.40864867,0.88225281,-0.70818508,-0.33290187,0.000015625,52416,In_Cluster
-0.73864621,-0.14118931,-1.1231582,-0.69934911,-0.46789977,0.16739838,0.000015625,12672,In_Cluster
0.6141066,-0.46573281,-0.25713399,-0.21133573,-0.21186721,-0.071487226,0.000015625,27258,In_Cluster
0.35613334,-0.11670731,0.34906805,-0.2530649,-0.38289687,0.59591287,0.000015625,53470,In_Cluster
1.3107142,0.20295149,0.4632515,-0.55264562,-0.12532397,-0.59876472,0.000015625,21888,In_Cluster
0.16461234,-0.004859988,0.094762236,-0.071750738,-0.18263555,0.4210026,0.000015625,10613,In_Cluster
0.51843983,-0.39327034,-0.36694911,-0.57185566,-0.40738815,-0.17166054,0.000015625,352,In_Cluster
-0.061036978,0.10992945,-0.10946321,0.35001835,-0.32597804,0.76711726,0.000015625,43671,In_Cluster
-0.10801937,-0.83701032,0.071604714,-0.20428114,0.018376337,0.051631227,0.000015625,9456,In_Cluster
-0.061004527,-0.91825306,0.24779999,-0.41796458,-0.60225332,0.64902216,0.000015625,54221,In_Cluster
